Herb_id,Chinese_name,Pinyin_name,Latin_name,English_name,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Function_Chinese,Function_English,UsePart,TCMID_id,TCM-ID_id,TCMSP_id,Link_herb_id,Alias,HERBDB_ID,Suppress
61,车前草,Cheqiancao,"Plantaginis Herba,Herba Plantaginis",all-grass of Rippleseed plantain,"甘,寒","Sweet,Cold","肝,肾,肺,小肠","Liver,Kidney,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,,6063,93,61,,,HERB000767,0
62,车前子,Cheqianzi,"Semen Plantaginis,Plantaginis Semen",seed of Asiatic pantain,"甘,寒","Sweet,Cold","肝,肾,肺,小肠","Liver,Kidney,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,,3529,94,62,,,HERB000770,0
63,沉香,Chenxiang,"Lignum Aquilariae Resitum,Aquilariae Lignum Resinatum",Oily wood of Agalloch Eaglewood,"辛,苦,微温","Pungent,Bitter,Slightly Warm","脾,胃,肾","Spleen,Stomach,Kidney",理气药,Qi Regulating Drugs,resinous wood,4805,98,63,,,HERB000777,0
64,陈皮,Chenpi,"Citri Reticulatae Pericarpium,Pericarpium Citri Reticulatae",Dried Tangerine Peel,"苦,辛,温","Bitter,Pungent,Warm","肺,脾","Lung,Spleen",理气药,Qi Regulating Drugs,,2663,96,64,,,HERB000775,0
65,赤芍,Chishao,"Radix Paeoniae Rubra,Paeoniae Radix Rubra",Red Peony root,"苦,微寒","Bitter,Slightly Cold",肝,Liver,清热凉血药,Heat Clearing Blood Cooling Drugs,,3745,100,65,,,HERB000800|HERB003416,0
66,赤小豆,Chixiaodou,"Semen Phaseoli,Vignae Semen",Rice Bean,"甘,酸,平","Sweet,Sour,Calm","心,小肠","Heart,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,,6914,103,66,,,HERB000806,0
67,茺蔚子,Chongweizi,"Leonuri Fructus,Fructus Leonuri",Motherwort Fruit,"辛,苦,微寒","Pungent,Bitter,Slightly Cold","心包,肝","Pericardium,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,,2658,104,67,,,HERB000822,0
68,臭梧桐,Chouwutong,Folium Clerodentri Trichotomi,"Glorybower leaf, Clerodendron leaf","苦,微辛,平","Bitter,Slightly Pungent,Calm",,,祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,leaf,7770,915,68,,,HERB000835,0
69,楮实子,Chushizi,Broussonetiae Fructus,Broussonetiae Fructus,"甘,寒","Sweet,Cold","肝,肾","Liver,Kidney",补阴药,Yin-Tonifying Medicinal,,,,69,,,HERB000842,0
70,川贝母,Chuanbeimu,"Bulbus Fritillariae Cirrhosae,Fritillariae Cirrhosae Bulbus",Bulb of Tendrilleaf Fritillary,"苦,甘,微寒","Bitter,Sweet,Slightly Cold","肺,心","Lung,Heart",化痰药,Phlegresolving Medicine,bulb,5197,107,70,,,HERB000849,0
71,川槿皮,Chuanjinpi,,Cortex Hibisci,"甘,苦,微寒","Sweet,Bitter,Slightly Cold","大肠,肝,脾","Large Intestine,Liver,Spleen",清热解毒药,Antipyretic Detoxicate Drugs,,,,71,,,HERB000864,0
72,川楝子,Chuanlianzi,"Toosendan Fructus,Fructus Meliae Toosendan",Szechwan Chiberry Fruit,"苦,寒,有小毒","Bitter,Cold,Slightly Toxic","肝,小肠,膀胱","Liver,Small Intestine,Bladder",理气药,Qi Regulating Drugs,fruit,4116,110,72,,,HERB000868,0
73,川木通,Chuanmutong,"Caulis Clematidis Armandii,Clematidis Armandii Caulis",Armand Clematis Stem,"苦,寒","Bitter,Cold","心,小肠,膀胱","Heart,Small Intestine,Bladder",利水渗湿药,Diuretic Dampness Excreting Drugs,,2145,916,73,,,HERB000870,0
74,川牛膝,Chuanniuxi,"Cyathulae Radix,Radix Cyathulae",root of Medicil cyathula,"甘,微苦,平","Sweet,Slightly Bitter,Calm","肝,肾","Liver,Kidney",活血祛瘀药,Blood Activating Stasis Removing Drugs,root,4402,111,74,,,HERB000872,0
75,川射干,Chuanshegan,Iridis Tectori Rhizoma,Iridis Tectori Rhizoma,"苦,寒","Bitter,Cold",肺,Lung,清热解毒药,Antipyretic Detoxicate Drugs,,,,75,,,HERB000879,0
76,川乌,Chuanwu,"Aconiti Radix,Radix Aconiti",root of Common Monkshood,"辛,苦,热,有大毒","Pungent,Bitter,Hot,Extremely Poisonous","心,肝,肾,脾","Heart,Liver,Kidney,Spleen",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,3130,115,76,,,HERB000881,0
77,川芎,Chuanxiong,"Chuanxiong Rhizoma,Radix Chuanxiong；Rhizoma Chuanxiong","Chuanxiong rhizome, Szechuan lovage root","辛,温","Pungent,Warm","肝,胆,心包","Liver,Gallbladder,Pericardium",活血祛瘀药,Blood Activating Stasis Removing Drugs,rhizome,1803,119,77,,,HERB000887|HERB004596,0
78,穿山龙,Chuanshanlong,"Rhizoma Dioscoreae Nipponicae,Dioscoreae Nipponicae Rhizoma",Ningpo Yam Rhizome ,"甘,苦,温","Sweet,Bitter,Warm","肝,肾,肺","Liver,Kidney,Lung",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,,2992,114,78,,,HERB000877,0
79,穿心莲,Chuanxinlian,"Andrographis Herba,Herba Andrographitis",all-grass of Common Androgrphis,"苦,寒","Bitter,Cold","心,肺,大肠,膀胱","Heart,Lung,Large Intestine,Bladder",清热解毒药,Antipyretic Detoxicate Drugs,dried aerial parts,1528,116,79,,,HERB000884|HERB004993,0
80,垂盆草,Chuipencao,"Sedi Herba,Herba Sedi Sarmentosi",all - grass of Stringy stonecrop,"甘,淡,凉","Sweet,Tasteless,Cool","肝,胆,小肠","Liver,Gallbladder,Small Intestine",清热解毒药,Antipyretic Detoxicate Drugs,,3624,121,80,,,HERB000892,0
81,椿皮,Chunpi,"Cortex Tooe Sinensis,Ailanthi Cortex","Ailanthus bark, Tree of heaven bark","苦,涩,寒","Bitter,Astringent,Cold","大肠,胃,肝","Large Intestine,Stomach,Liver",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,,3293,123,81,,,HERB000903,0
82,葱白,Congbai,Bulbus Allii Fistulosi,"Allium bulb, Wild scallion, Chinese green onion","辛,温","Pungent,Warm","肺,胃","Lung,Stomach",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,fresh bulb,1343,129,82,,,HERB000949,0
83,大风子,Dafengzi,,Hydnocarpi Anthelminticae Semen,"辛,热,有毒","Pungent,Hot,Toxic","肝,脾","Liver,Spleen",解毒杀虫燥湿止痒药,Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching,,,,83,,,HERB001032,0
84,大腹皮,Dafupi,Arecae Pericarpium,Areca Catechu L.,"辛,微温","Pungent,Slightly Warm","脾,胃,大肠,小肠","Spleen,Stomach,Large Intestine,Small Intestine",理气药,Qi Regulating Drugs,,,,84,,,HERB001034,0
85,大黄,Dahuang,"Radix Et Rhizoma Rhei,Rhei Radix Et Rhizoma",root and rhziome of Sorrel Rhubarb,"苦,寒","Bitter,Cold","脾,胃,大肠,肝,心包","Spleen,Stomach,Large Intestine,Liver,Pericardium",攻下药,Offensive Purgative Medicinal,root and rhizome,6192,138,85,,,HERB001069,0
86,大蓟,Daji,"Cirsii Japonici Herba,Herba Cirsii Japonici;Radix Cirsii Japonici;Herba Seu Radix Cirsii Japonici",all-grass of Thistle,"甘,苦,凉","Sweet,Bitter,Cool","心,肝","Heart,Liver",凉血止血药,Blood-Cooling Hemostatic Medicinal,,4343,142,86,,大蓟炭,HERB001074|HERB001075|HERB001076|HERB001077|HERB001078|HERB001079|HERB001080,0
87,大青叶,Daqingye,"Folium Isatidis,Isatidis Folium",Isatis leaf,"苦,寒","Bitter,Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,leaf,1947,147,87,,,HERB001101,0
88,大蒜,Dasuan,"Allii Sativi Bulbus,Bulbus Allii",Garlic,"辛,温","Pungent,Warm","脾,胃,肺","Spleen,Stomach,Lung",解毒杀虫燥湿止痒药,Medicinal For Detoxification、Parasiticide、Drying Dampness And Relieving Itching,bulb,2581,148,88,,,HERB001104,0
89,大血藤,Daxueteng,"Caulis Sargentodoxae,Sargentodoxae Caulis",Stem of Sargentgloryvine,"苦,平","Bitter,Calm","大肠,肝","Large Intestine,Liver",清热解毒药,Antipyretic Detoxicate Drugs,stem,4827,192,89,,,HERB001117,0
90,大枣,Dazao,"Fructus Zizyphi Jujubae,Jujubae Fructus",Jujube Chinese date,"甘,温","Sweet,Warm","脾,胃,心","Spleen,Stomach,Heart",补气药,Qi Reinforcing Drugs,ripe fruit,362,193,90,,,HERB001164,0
91,大皂角,Dazaojiao,Gleditsiae Sinensis Fructus,Gleditsiae Fructus,"辛,咸,温,有小毒","Pungent,Salty,Warm,Slightly Toxic","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,,,,91,,,,0
92,玳玳花,Daidaihua,,Citrus Aurantium,"辛,甘,微苦,平","Pungent,Sweet,Slightly Bitter,Calm",,,理气药,Qi Regulating Drugs,,,,92,,,HERB001171,0
93,丹参,Danshen,"Radix Salviae Liguliobae,Salviae Miltiorrhizae
Radix Et Rhizoma",root of Ligulilobe sage,"苦,微寒","Bitter,Slightly Cold","心,肝","Heart,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,root,5367,199,93,,,HERB001193,0
94,淡豆豉,Dandouchi,"Semen Sojae Praeparata,Sojae Semen Praeparatum",Fermented Soybean,"苦,辛,凉","Bitter,Pungent,Cool","肺,胃","Lung,Stomach",辛凉解表药,Pungent Cool Diaphoretics,,4341,196,94,,,HERB001175,0
95,当归,Danggui,"Radix Angelicae Sinensis,Angelicae Sinensis Radix",root of Chinese Angelica,"甘,辛,温","Sweet,Pungent,Warm","肝,心,脾","Liver,Heart,Spleen",补血药,Blood-Tonifying Medicinal,root,4247,202,95,,,HERB000742|HERB001210|HERB004572|HERB005088,0
96,党参,Dangshen,"Codonopsis Radix,Radix Codonopsis Pilosulae",root Pilose Asiabell,"甘,平","Sweet,Calm","脾,肺","Spleen,Lung",补气药,Qi Reinforcing Drugs,root,1260,203,96,,,HERB001211,0
97,刀豆,Daodou,"Semen Cavaliae,Canaⅴ Aliae Semen",Jack Bean,"甘,温","Sweet,Warm","胃,肾","Stomach,Kidney",理气药,Qi Regulating Drugs,seed,2286,919,97,,,HERB001215,0
98,倒扣草,Daokoucao,,Achyranthis Asperae Herba,"苦,酸,微寒","Bitter,Sour,Slightly Cold","肝,肺,膀胱","Liver,Lung,Bladder",活血祛瘀药,Blood Activating Stasis Removing Drugs,,,,98,,,HERB001217,0
99,灯心草,Dengxincao,"Junci Medulla,Medulla Junci",pith of Common Rush,"甘,淡,微寒","Sweet,Tasteless,Slightly Cold","心,肺,小肠","Heart,Lung,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,whole herb,6964,206,99,,,HERB001235,0
100,地耳草,Diercao,Herba Hyperici Japonici,all - grass of Japanese St. Johnswort,"甘,微苦,凉","Sweet,Slightly Bitter,Cool",,,利水渗湿药,Diuretic Dampness Excreting Drugs,whole herb,7601,920,100,,,HERB001244,0
101,地枫皮,Difengpi,"Illicii Cortex,Cortex Illicii",Difengpi Bark,"微辛,涩,温,有小毒","Slightly Pungent,Astringent,Warm,Slightly Toxic","膀胱,肾","Bladder,Kidney",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,bark,6041,210,101,,,HERB001246,0
102,地肤子,Difuzi,"Fructus Kochiae,Kochiae Fructus",fruit of Belvedere,"辛,苦,寒","Pungent,Bitter,Cold","肾,膀胱","Kidney,Bladder",利水渗湿药,Diuretic Dampness Excreting Drugs,,2526,211,102,,,HERB001247,0
